Index,Pitch,Roll,TurnRate
12135,1.27,-1.96,-9.68
12155,1.31,-1.95,-8.73
12175,1.55,-2.12,-8.40
12199,1.63,-2.19,-9.12
12219,1.72,-2.28,-9.01
12240,1.67,-2.28,-8.79
12263,1.62,-2.28,-8.51
12283,1.56,-2.21,-9.07
12307,1.54,-2.15,-8.90
12327,1.57,-2.06,-8.57
12352,1.51,-1.95,-9.12
12371,1.58,-2.07,-9.80
12392,1.56,-1.98,-8.96
12411,1.50,-1.81,-8.68
12432,1.39,-1.73,-9.40
12455,1.44,-1.35,-9.46
12476,1.47,-1.12,-9.52
12499,1.59,-0.98,-8.96
12519,1.46,-0.58,-9.46
12539,1.62,2.01,-8.06
12562,1.95,5.30,-5.77
12583,2.62,8.27,-5.43
12603,3.56,9.55,-5.43
12627,5.02,9.38,-5.99
12647,6.63,8.21,-6.21
12668,8.12,6.64,-6.94
12688,9.67,5.08,-5.43
12712,10.14,2.28,-6.21
12733,9.95,-0.64,-7.33
12757,10.23,-3.07,-6.83
12777,10.45,-4.93,-6.55
12797,10.78,-6.42,-7.11
12816,9.94,-8.42,-6.55
12839,9.17,-10.07,-4.76
12860,8.44,-11.39,-6.10
12880,7.10,-12.96,-6.49
12905,5.84,-14.24,-7.11
12925,4.51,-15.53,-6.05
12945,3.13,-16.97,-6.27
12969,1.41,-18.16,-7.33
12989,0.23,-19.06,-7.45
13009,-0.68,-19.98,-7.95
13033,-1.32,-20.75,-7.84
13053,-2.08,-21.21,-8.29
13073,-3.29,-20.99,-7.89
13096,-4.53,-19.79,-8.51
13116,-6.01,-17.24,-9.07
13140,-7.16,-13.61,-8.90
13165,-7.82,-9.19,-8.17
13186,-7.85,-5.73,-7.78
13211,-7.39,-3.74,-6.05
13234,-6.81,-3.79,-7.45
13257,-6.27,-5.00,-7.78
13277,-5.46,-7.19,-7.61
13301,-4.95,-8.54,-7.95
13322,-4.19,-8.63,-8.85
13342,-3.58,-8.40,-8.96
13367,-2.78,-7.91,-8.90
13388,-1.65,-7.14,-9.18
13412,-1.01,-6.05,-9.07
13433,-0.20,-3.63,-9.35
13454,0.29,-1.80,-8.01
13477,0.85,-0.18,-8.34
13498,1.33,1.00,-7.00
13519,1.50,1.10,-7.17
13543,1.37,0.04,-7.67
13563,1.17,-1.73,-7.73
13584,0.70,-4.13,-8.40
13612,0.28,-6.44,-8.12
13634,-0.44,-7.77,-8.45
13652,-0.78,-7.51,-9.74
13672,-1.00,-7.02,-9.40
13696,-0.87,-5.53,-8.68
13717,-0.57,-4.31,-8.23
13737,-0.30,-3.35,-9.29
13761,0.18,-2.90,-8.73
13785,0.37,-2.54,-9.01
13805,0.63,-2.62,-9.01
13826,0.96,-2.59,-8.96
13851,1.01,-2.83,-9.40
13872,1.24,-3.23,-9.01
13895,1.00,-3.54,-9.12
13915,0.87,-3.64,-8.45
13936,0.71,-3.84,-8.62
13959,0.57,-4.02,-10.19
13980,0.42,-3.89,-8.73
14005,0.15,-3.72,-9.12
14025,0.11,-3.92,-9.40
14045,-0.19,-3.64,-9.40
14065,-0.18,-3.50,-9.07
14089,-0.14,-3.20,-9.40
14109,0.10,-3.26,-10.02
14130,0.10,-3.00,-8.51
14153,0.29,-2.04,-9.40
14174,0.41,-1.62,-8.85
14194,0.73,-1.02,-9.35
14217,1.18,-1.41,-8.90
14238,1.46,-2.02,-9.35
14259,1.75,-2.90,-9.29
14282,1.79,-3.63,-8.45
14303,1.86,-4.20,-9.18
14323,1.69,-4.26,-9.40
14346,1.53,-4.03,-9.18
14367,1.43,-4.14,-8.51
14387,1.38,-4.00,-8.79
14411,1.31,-3.87,-8.96
14432,1.29,-3.57,-9.12
14452,1.34,-3.20,-9.46
14482,1.31,-2.96,-9.57
14500,1.40,-2.37,-8.51
14520,1.47,-1.86,-8.34
14541,1.60,-1.40,-8.96
14561,1.58,-1.09,-8.85
14584,1.63,-1.09,-9.63
14604,1.71,-1.52,-7.78
14625,1.60,-2.29,-8.73
14649,1.48,-3.28,-8.68
14671,1.33,-4.15,-7.56
14691,1.26,-4.30,-9.18
14714,1.01,-5.07,-9.29
14735,0.68,-5.47,-8.57
14755,0.56,-5.13,-9.18
14779,0.33,-4.74,-9.74
14800,0.32,-4.00,-9.85
14820,0.45,-3.78,-9.29
14844,0.48,-3.26,-9.57
14864,0.53,-2.85,-8.62
14884,0.75,-2.50,-8.90
14908,0.88,-2.49,-9.52
14930,1.08,-2.50,-8.79
14953,1.28,-2.68,-8.51
14974,1.29,-3.03,-9.96
14994,1.40,-3.30,-8.73
15014,1.19,-3.52,-9.68
15038,1.08,-3.63,-8.96
15059,0.98,-3.80,-9.40
15079,0.88,-3.92,-9.63
15102,0.63,-3.84,-10.24
15123,0.38,-3.74,-8.90
15144,0.30,-3.59,-10.41
15168,0.18,-3.39,-8.57
15188,0.11,-3.09,-9.40
15209,0.10,-2.83,-9.52
15233,0.16,-2.75,-9.24
15254,0.27,-2.61,-10.24
15274,0.52,-2.35,-8.73
15299,0.72,-2.01,-8.90
15319,0.87,-1.38,-8.96
15339,1.00,-1.18,-8.79
15362,0.99,-1.37,-8.73
15383,0.97,-1.83,-9.68
15403,1.01,-2.29,-8.68
15427,0.82,-3.17,-9.01
15447,0.53,-3.44,-9.57
15468,0.42,-3.69,-8.79
15489,0.23,-3.65,-8.57
15512,0.17,-3.46,-8.62
15533,0.25,-3.15,-9.57
15554,0.36,-3.01,-7.56
15577,0.53,-2.78,-9.85
15598,0.67,-2.68,-9.68
15620,0.79,-2.64,-7.67
15643,0.75,-2.54,-10.52
15664,0.71,-2.47,-10.69
15684,0.64,-2.43,-9.01
15709,0.66,-2.49,-8.79
15733,0.74,-2.41,-9.29
15749,0.70,-2.54,-8.51
15773,0.56,-2.50,-9.29
15793,0.62,-2.35,-9.74
15813,0.69,-2.47,-8.79
15837,0.73,-2.39,-8.85
15858,0.75,-2.58,-8.57
15878,0.81,-2.73,-8.06
15902,0.81,-2.69,-8.68
15923,0.71,-3.33,-9.91
15947,0.57,-3.15,-8.68
15967,0.42,-3.15,-8.96
15988,0.36,-3.13,-8.51
16011,0.72,-3.03,-9.63
16032,0.83,-3.00,-10.02
16056,1.10,-3.07,-8.01
16076,1.34,-2.68,-9.07
16096,1.64,-2.35,-8.23
16121,1.75,-2.59,-9.01
16141,1.61,-3.02,-8.90
16165,1.52,-2.73,-9.85
16185,1.35,-2.90,-8.40
16205,1.33,-2.83,-9.74
16226,1.54,-2.46,-9.07
16249,1.63,-2.53,-8.29
16270,1.74,-2.26,-9.24
16290,1.74,-1.96,-8.68
16314,1.88,-1.73,-9.57
16335,1.85,-1.61,-9.63
16355,1.87,-1.68,-8.29
16378,1.70,-1.51,-9.68
16398,1.65,-2.14,-8.51
16418,1.21,-3.53,-8.79
16442,0.97,-4.83,-8.90
16463,0.63,-5.30,-9.24
16484,0.51,-5.79,-9.91
16507,0.31,-5.95,-10.02
16528,0.08,-5.94,-10.92
16565,-0.02,-5.67,-10.08
16585,0.12,-4.90,-10.75
16624,0.30,-4.37,-8.79
16644,1.01,-2.75,-9.01
16667,1.29,-2.32,-8.51
16688,1.49,-1.98,-9.29
16708,1.58,-2.50,-9.46
16733,1.51,-2.67,-8.96
16753,1.42,-2.84,-8.45
16774,1.45,-2.93,-9.68
16797,1.52,-2.73,-9.07
16819,1.18,-2.63,-9.07
16839,1.10,-2.54,-9.52
16863,1.20,-2.35,-9.24
16884,1.30,-1.90,-8.34
16904,1.27,-1.72,-8.79
16928,1.35,-1.64,-8.23
16950,1.34,-1.58,-9.01
16975,1.67,-1.51,-8.57
16994,1.57,-1.53,-8.73
17014,1.62,-1.74,-8.40
17049,1.64,-2.05,-7.61
17065,1.75,-2.08,-8.45
17089,1.48,-2.41,-9.46
17109,1.40,-2.48,-9.01
17130,1.39,-2.77,-8.45
17154,1.48,-2.73,-9.68
17174,1.57,-2.65,-10.19
17194,1.61,-2.79,-9.18
17217,1.59,-2.38,-8.57
17238,1.60,-2.82,-9.52
17258,1.51,-2.87,-9.07
17282,1.62,-2.53,-9.63
17302,1.49,-2.45,-8.57
17323,1.62,-2.44,-9.24
17347,1.80,-2.45,-9.40
17367,1.73,-2.36,-9.24
17387,1.81,-1.96,-9.80
17413,1.91,-2.02,-8.90
17432,1.92,-1.79,-8.62
17457,2.07,-1.53,-9.40
17477,2.01,-1.47,-9.07
17497,1.99,-1.43,-8.85
17517,1.99,-1.54,-9.01
17541,1.96,-1.69,-8.85
17562,1.89,-2.04,-8.45
17582,1.96,-2.14,-9.07
17605,2.01,-2.41,-8.90
17626,1.81,-2.65,-9.96
17646,1.76,-3.03,-8.01
17666,1.62,-3.34,-8.29
17690,1.59,-3.42,-8.68
17711,1.45,-3.87,-8.57
17731,1.37,-3.91,-9.01
17754,1.41,-3.50,-8.68
17775,1.42,-3.25,-9.24
17799,1.42,-3.23,-9.80
17821,1.27,-3.08,-9.52
17840,1.37,-2.56,-10.64
17860,1.48,-2.31,-9.40
17884,1.33,-2.54,-9.12
17904,1.24,-2.38,-8.62
17925,1.29,-2.06,-9.01
17948,1.30,-2.08,-9.18
17969,1.56,-2.24,-10.19
17990,1.64,-2.06,-8.85
18013,1.64,-2.07,-9.52
